3724,2259,1,0,0.7,1024,0.2,64,1587,1,1,1,150155,86,84,1633,2851,7,15,1,0,22,12,1,0,121,0.8,1,99.0
3111,2413,1,1,0.6,32,0.1,1024,1107,1,4,1,114952,83,72,1577,1635,14,10,0,1,11,3,5,1,131,0.8,1,99.0
1542,3286,2,1,0.7,1024,0.3,1024,3869,2,1,2,145464,55,83,1398,3995,9,11,0,1,11,4,5,1,125,0.7,2,99.0
1925,4958,1,1,0.5,256,0.5,1024,2175,1,2,1,122741,92,72,1845,2364,17,11,0,1,24,5,5,1,156,0.8,1,99.0
2380,2696,3,0,0.8,512,0.3,32,3940,3,4,3,141137,92,70,1697,3238,6,17,0,1,13,7,2,0,129,0.6,3,99.0
1192,2494,1,0,0.5,256,0.5,64,3467,1,3,1,104091,74,64,1332,3142,10,12,0,0,16,9,6,0,122,0.6,1,1000000
3807,3942,3,1,0.5,1024,0.4,1024,1556,3,4,3,173397,76,95,1478,3020,15,17,1,1,15,5,1,1,157,0.9,3,1000000
5438,4223,3,0,0.6,64,0.1,128,1670,3,2,3,113541,63,67,1693,3031,17,17,1,0,24,8,9,1,130,0.8,3,1000000
3148,4985,4,1,0.8,256,0.1,32,2903,4,3,4,127757,57,94,1480,1504,20,17,1,0,15,8,1,1,168,0.5,4,1000000
4240,3097,1,1,0.4,32,0.2,128,3113,1,3,1,136207,90,97,924,1906,11,10,0,0,17,2,7,0,136,0.9,1,106.0
4850,3873,4,0,0.6,32,0.2,256,2580,4,2,4,157963,65,92,1032,1946,7,21,1,0,20,6,9,0,150,0.8,4,105.09999999999997
5255,4490,1,1,0.7,512,0.5,512,2243,1,2,1,108286,82,69,1144,2822,7,19,1,1,11,2,6,0,161,0.9,1,98.0
5591,4303,3,1,0.5,512,0.1,256,3246,3,1,3,131426,51,81,1545,3025,8,20,1,1,15,6,1,1,133,0.9,3,1000000
2970,5620,2,1,0.7,512,0.2,1024,4074,2,2,2,137490,73,61,1662,4067,19,9,1,1,9,2,8,0,158,0.9,2,1000000
5089,4037,4,0,0.8,64,0.2,64,2870,4,1,4,175572,86,88,1846,3402,11,15,0,0,21,5,6,1,165,0.5,4,1000000
