JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
3272,4177,3,0,0.4,64,0.3,492,1800,3,3,3,9376965,65,50,1601,3732,19,20,0,1,9,4,8,1,129,0.5,19,16400.67
3731,4616,3,0,0.4,32,0.3,600,2052,4,3,3,10143737,69,50,1774,4410,23,23,0,1,9,4,9,1,132,0.5,21,17910.96
2971,3906,3,0,0.4,32,0.3,436,1673,3,3,3,8871474,62,49,1494,3294,17,18,0,1,9,4,7,1,128,0.5,17,7021.92
3845,4700,4,0,0.4,64,0.3,627,2115,4,4,3,10361352,70,50,1814,4578,23,23,0,1,9,4,10,1,133,0.5,22,4980.59
3753,4656,4,0,0.4,64,0.3,605,2074,4,4,3,10202338,69,50,1784,4456,23,23,0,1,9,4,9,1,133,0.5,22,4834.63
2964,3926,3,0,0.4,32,0.3,432,1664,3,3,3,8857660,62,50,1489,3294,17,18,0,1,9,4,7,1,128,0.5,17,3013.84
3358,4280,3,0,0.4,64,0.3,514,1855,3,3,3,9516854,65,50,1640,3880,20,20,0,1,9,4,8,1,130,0.5,19,13450.32
3283,4212,3,0,0.4,32,0.3,508,1831,3,3,3,9387699,65,50,1611,3775,20,20,0,1,9,4,8,1,130,0.5,19,4595.24
3221,4152,3,0,0.4,16,0.3,469,1868,3,3,3,9503529,65,49,1647,3778,20,19,0,1,9,4,8,1,129,0.5,19,10861.49
3167,4082,3,0,0.4,8,0.3,450,1840,3,3,3,9421100,65,49,1627,3670,19,19,0,1,9,4,7,1,129,0.5,19,12719.63
3319,4192,3,0,0.4,32,0.3,480,1913,3,3,3,9649554,66,49,1668,3827,20,20,0,1,9,4,8,1,130,0.5,20,15135.58
3798,4650,3,0,0.4,16,0.4,587,2159,4,3,3,10439392,70,49,1837,4586,23,23,0,1,9,5,9,1,132,0.5,22,16662.77
