JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
4870,3758,1,1,0.4,64,0.6,63,1909,1,4,1,11302757,85,68,1202,1917,11,12,0,0,20,8,7,1,160,0.7,10,2898.89
3426,3252,1,1,0.4,64,0.4,59,1631,1,3,1,9594094,74,61,1112,1589,10,10,0,0,16,6,5,1,146,0.7,9,4316.76
4485,3634,1,1,0.4,256,0.5,63,1840,1,3,1,10901437,82,66,1180,1836,10,11,0,0,19,8,7,1,156,0.7,10,3673.4
3698,3381,1,1,0.4,64,0.5,73,1678,1,3,1,9903259,75,61,1123,1650,10,10,0,0,17,7,5,1,148,0.7,10,2898.15
4299,3568,1,1,0.4,64,0.5,59,1800,1,3,1,10624378,81,65,1163,1791,10,11,0,0,19,7,7,1,154,0.7,10,8521.45
4052,3478,1,1,0.4,64,0.5,54,1761,1,3,1,10264114,79,63,1145,1716,10,11,0,0,18,7,6,1,151,0.7,10,2865.44
4135,3488,1,1,0.4,64,0.5,60,1768,1,3,1,10344190,79,64,1156,1739,10,11,0,0,18,7,6,1,152,0.7,10,2153.86
3321,4109,3,0,0.4,256,0.3,501,1819,3,3,3,9451226,65,50,1645,3753,20,20,0,1,9,4,8,1,130,0.5,20,13597.27
3049,3846,3,0,0.4,64,0.3,451,1698,3,3,3,9012272,63,50,1569,3403,18,18,0,1,9,4,7,1,129,0.5,18,3703.46
3981,4684,3,0,0.4,256,0.4,642,2052,3,4,3,10495416,69,50,1861,4564,23,23,0,1,9,5,10,1,133,0.5,24,8109.75
2963,3794,3,0,0.4,64,0.3,425,1683,3,3,3,8877724,62,50,1531,3299,18,18,0,1,9,4,7,1,128,0.5,17,2577.81
3953,4667,3,0,0.4,256,0.4,633,2038,3,3,3,10423454,69,50,1844,4526,23,22,0,1,9,5,10,1,132,0.5,23,6453.62
3729,4453,3,0,0.4,256,0.3,586,1928,3,3,3,10038745,67,50,1763,4210,22,21,0,1,9,4,9,1,132,0.5,22,9048.75
3008,3809,3,0,0.4,64,0.3,438,1685,3,3,3,8949897,63,50,1551,3347,18,18,0,1,9,4,7,1,129,0.5,18,4713.53
3618,4379,3,0,0.4,256,0.3,564,1924,3,3,3,9922242,67,50,1743,4121,21,21,0,1,9,4,9,1,131,0.5,21,6330.2
3339,4097,3,0,0.4,256,0.3,509,1801,3,3,3,9466052,65,50,1656,3762,20,20,0,1,9,4,8,1,130,0.5,20,6626.84
3376,4139,3,0,0.4,256,0.3,512,1790,3,3,3,9408240,65,49,1647,3723,20,20,0,1,9,4,8,1,129,0.5,19,3120.14
4546,5748,1,0,0.5,8,0.1,242,3364,1,3,1,7001075,56,89,1519,966,14,19,1,0,21,9,1,1,123,0.5,10,2561.71
4390,5576,1,0,0.5,4,0.1,236,3254,1,3,1,6960226,56,87,1484,970,13,19,1,0,21,8,1,1,123,0.5,10,5117.91
4612,5794,1,0,0.5,4,0.1,243,3397,1,3,1,7049022,56,90,1524,975,14,20,1,0,22,9,1,1,123,0.5,10,15539.63
5118,6228,1,0,0.5,8,0.1,274,3698,1,3,1,7196618,58,94,1611,973,15,21,1,0,23,10,1,1,124,0.5,10,13846.65
5569,6653,1,0,0.5,2,0.1,290,3978,1,3,1,7303738,59,99,1682,974,16,22,1,0,24,10,1,1,124,0.5,10,10328.63
5331,6425,1,0,0.5,2,0.1,276,3832,1,3,1,7237451,58,96,1639,979,15,21,1,0,24,10,1,1,124,0.5,10,3656.34
5096,6219,1,0,0.5,2,0.1,261,3680,1,3,1,7180514,57,94,1604,976,15,21,1,0,23,10,1,1,123,0.5,10,5785.99
4797,5946,1,0,0.5,8,0.1,247,3501,1,3,1,7061390,57,91,1548,972,14,20,1,0,22,9,1,1,123,0.5,10,9013.14
4815,5976,1,0,0.5,1,0.1,254,3507,1,3,1,7058106,57,91,1552,966,14,20,1,0,22,9,1,1,123,0.5,10,5833.15
4153,2359,2,0,0.7,32,0.2,24,2373,2,4,2,8304410,57,51,1471,1487,15,14,1,0,14,4,5,1,156,0.6,18,12098.32
4772,2355,2,0,0.8,16,0.2,39,2626,2,4,2,8844988,60,55,1574,1609,17,15,1,0,15,4,7,1,163,0.6,19,3829.82
4681,2349,2,0,0.8,16,0.2,33,2606,2,4,2,8776292,59,54,1554,1599,17,15,1,0,15,4,6,1,161,0.6,19,17809.42
4837,5722,1,0,0.5,16,0.1,255,3427,1,3,1,7125817,57,89,1524,980,14,20,1,0,22,9,1,1,123,0.5,9,8124.42
4150,5340,1,0,0.5,16,0.1,228,3172,1,3,1,6921592,56,83,1463,972,13,18,1,0,20,8,1,1,122,0.5,10,2387.4
4955,5941,1,0,0.5,16,0.1,263,3561,1,3,1,7150456,57,91,1569,988,14,20,1,0,22,9,1,1,123,0.5,10,3912.32
5639,6552,1,0,0.5,32,0.1,287,3860,1,3,1,7316617,59,99,1671,1010,15,22,1,0,24,10,1,1,124,0.5,10,9210.61
5152,6054,1,0,0.5,32,0.1,270,3601,1,3,1,7211938,58,93,1584,983,14,21,1,0,23,9,1,1,124,0.5,10,7790.34
4754,5774,1,0,0.5,8,0.1,254,3452,1,3,1,7074706,57,89,1533,1004,14,20,1,0,22,9,1,1,123,0.5,9,4912.27
4830,5738,1,0,0.5,16,0.1,255,3439,1,3,1,7137012,58,90,1527,980,14,20,1,0,22,9,1,1,123,0.5,10,5928.7
4061,3311,1,1,0.4,32,0.5,75,1736,1,3,1,9806614,76,62,1155,1653,10,11,0,0,18,7,6,1,148,0.7,10,7925.75
3867,3279,1,1,0.4,32,0.5,75,1725,1,3,1,9636419,74,62,1135,1610,9,10,0,0,17,6,5,1,147,0.7,10,3034.6
4131,3411,1,1,0.4,128,0.5,80,1777,1,3,1,10138262,78,63,1153,1721,10,11,0,0,18,7,6,1,151,0.7,10,4876.2
4366,3516,1,1,0.4,128,0.5,83,1815,1,3,1,10576302,82,64,1175,1816,10,11,0,0,19,7,6,1,155,0.7,9,3244.24
4603,3638,1,1,0.4,128,0.6,84,1846,1,3,1,10975400,85,65,1195,1902,11,12,0,0,19,8,7,1,159,0.8,9,4607.1
4519,3549,1,1,0.4,128,0.6,84,1846,1,3,1,10853957,84,64,1193,1875,11,11,0,0,19,8,7,1,158,0.7,9,3908.88
4416,3497,1,1,0.4,128,0.6,82,1833,1,3,1,10664304,83,64,1185,1844,10,11,0,0,19,7,7,1,156,0.7,9,7152.23
3854,3246,1,1,0.4,32,0.5,76,1734,1,3,1,9624378,74,62,1137,1614,9,10,0,0,17,6,5,1,147,0.7,10,6407.03
4238,3459,1,1,0.4,32,0.5,78,1791,1,3,1,10305178,80,63,1174,1758,10,11,0,0,18,7,6,1,153,0.7,9,3459.12
5471,3763,4,1,0.4,256,0.3,107,2226,6,4,6,6840289,71,69,1194,3179,12,14,0,0,17,9,6,1,137,0.7,40,10929.81
4724,3589,4,1,0.4,64,0.3,95,2029,5,3,5,6651750,69,67,1155,2860,11,13,0,0,16,8,6,1,135,0.7,35,13332.45
5422,3836,4,1,0.4,256,0.3,109,2209,6,4,6,6744018,72,69,1198,3187,11,14,0,0,17,9,7,1,137,0.7,40,10461.96
4135,5371,1,0,0.5,8,0.1,222,3048,1,3,1,6910000,56,85,1444,954,13,18,1,0,20,8,1,1,123,0.5,10,3005.99
4977,6125,1,0,0.5,16,0.1,262,3662,1,3,1,7128268,57,93,1591,986,14,21,1,0,23,10,1,1,123,0.5,10,5591.26
5483,6610,1,0,0.5,16,0.1,294,4068,1,3,1,7286797,59,98,1692,998,16,23,1,0,25,10,1,1,123,0.5,10,5998.83
4809,5990,1,0,0.5,8,0.1,253,3543,1,3,1,7097600,57,91,1566,979,14,20,1,0,22,9,1,1,123,0.5,10,3540.08
4624,5450,1,0,0.5,2,0.1,220,3228,1,3,1,6912673,56,87,1470,937,13,19,1,0,21,8,1,1,124,0.5,10,2298.63
4795,5702,1,0,0.5,2,0.1,239,3393,1,3,1,6954353,57,90,1512,938,14,20,1,0,22,9,1,1,124,0.5,10,2149.47
5088,5954,1,0,0.5,4,0.1,254,3569,1,3,1,6977001,57,93,1549,943,14,20,1,0,22,9,1,1,124,0.5,10,2592.44
5568,6539,1,0,0.5,4,0.1,291,3949,1,3,1,7044808,58,98,1637,952,15,22,1,0,24,10,1,1,124,0.5,10,8489.54
5505,6553,1,0,0.5,8,0.1,292,3939,1,3,1,7062084,58,98,1640,949,15,22,1,0,24,10,1,1,124,0.5,10,4542.71
4603,5503,1,0,0.5,2,0.1,225,3257,1,3,1,6922304,56,87,1480,945,13,19,1,0,21,8,1,1,124,0.5,10,2350.29
5092,6043,1,0,0.5,2,0.1,256,3588,1,3,1,7011821,57,93,1558,950,14,21,1,0,23,9,1,1,124,0.5,10,3655.29
4873,5754,1,0,0.5,4,0.1,239,3447,1,3,1,6940625,57,90,1516,952,14,20,1,0,22,9,1,1,124,0.5,10,3781.22
4955,5914,1,0,0.5,8,0.1,249,3534,1,3,1,6981811,57,91,1540,953,14,20,1,0,22,9,1,1,124,0.5,10,8937.17
3225,4123,3,0,0.4,256,0.3,511,1965,3,3,3,9515165,67,49,1663,3890,20,20,0,1,9,4,8,1,129,0.5,19,9009.28
3221,4137,3,0,0.4,256,0.3,516,1979,3,3,3,9571113,67,50,1667,3911,20,20,0,1,9,4,8,1,130,0.5,19,2716.84
3895,4787,4,0,0.4,256,0.4,645,2232,4,4,3,10635334,71,51,1881,4681,24,24,0,1,9,5,10,1,132,0.5,24,13417.09
3652,4515,3,0,0.4,256,0.3,589,2129,3,3,3,10195820,69,50,1797,4377,23,22,0,1,9,4,9,1,132,0.5,22,15089.29
3199,3806,3,0,0.4,64,0.3,425,1775,3,3,3,8993597,62,50,1562,3411,18,19,0,1,9,4,7,1,129,0.5,19,7713.34
3793,4612,3,0,0.4,256,0.3,623,1996,3,3,3,10250815,69,51,1796,4394,22,22,0,1,9,4,9,1,132,0.5,23,7681.5
3817,4641,3,0,0.4,256,0.3,629,2009,3,3,3,10290058,69,51,1797,4426,23,23,0,1,9,4,10,1,132,0.5,23,16213.21
3263,3895,3,0,0.4,64,0.3,450,1736,3,3,3,9068814,63,50,1569,3515,18,19,0,1,9,4,7,1,129,0.5,19,8917.64
3494,4254,3,0,0.4,256,0.3,540,1881,3,3,3,9732547,66,51,1688,3932,21,21,0,1,9,4,8,1,130,0.5,20,11571.45
3395,4109,3,0,0.4,256,0.3,502,1817,3,3,3,9448409,65,51,1640,3763,20,20,0,1,9,4,8,1,130,0.5,20,14631.29
4526,5628,1,0,0.5,16,0.1,230,3342,1,3,1,6976795,57,87,1491,962,13,19,1,0,21,9,1,1,123,0.5,10,2066.48
4510,5599,1,0,0.5,16,0.1,240,3326,1,3,1,6984106,57,87,1486,954,13,19,1,0,21,9,1,1,122,0.5,10,2609.93
4729,5808,1,0,0.5,16,0.1,251,3441,1,3,1,7048574,57,90,1521,963,14,20,1,0,22,9,1,1,123,0.5,10,4464.46
5199,6299,1,0,0.5,16,0.1,294,3679,1,3,1,7186931,58,94,1602,972,15,21,1,0,23,10,1,1,123,0.5,10,6759.33
5753,6844,1,0,0.5,64,0.1,341,3960,1,3,1,7340183,58,100,1687,982,16,22,1,0,25,11,1,1,123,0.5,10,8808.26
3999,5152,1,0,0.5,16,0.1,191,3087,1,3,1,6841556,57,83,1418,952,12,18,1,0,20,8,1,1,122,0.5,10,3678.86
5588,6717,1,0,0.5,64,0.1,334,3902,1,3,1,7323013,58,99,1669,984,16,22,1,0,24,10,1,1,123,0.5,10,2522.19
5374,6519,1,0,0.5,16,0.1,312,3791,1,3,1,7237948,58,96,1631,978,15,22,1,0,24,10,1,1,123,0.5,10,12678.9
4340,5419,1,0,0.5,32,0.1,216,3248,1,3,1,6912594,57,85,1452,950,13,18,1,0,20,8,1,1,122,0.5,10,13531.81
5088,6202,1,0,0.5,16,0.1,276,3643,1,3,1,7148492,57,93,1581,972,15,21,1,0,23,9,1,1,123,0.5,10,3862.73
4619,5707,1,0,0.5,16,0.1,238,3391,1,3,1,7015299,57,88,1507,961,14,19,1,0,21,9,1,1,123,0.5,10,9016.57
4662,5798,1,0,0.5,4,0.1,230,3413,1,3,1,6980470,57,88,1500,998,14,19,1,0,21,9,1,1,123,0.5,10,3306.29
3181,4137,3,0,0.4,32,0.3,474,1805,3,3,3,9260618,64,50,1596,3650,19,19,0,1,9,4,8,1,129,0.5,20,13112.25
2956,3936,3,0,0.4,64,0.3,418,1695,3,3,3,8836750,62,50,1533,3347,18,18,0,1,9,4,7,1,128,0.5,19,15546.96
3243,4174,3,0,0.4,32,0.3,475,1804,3,3,3,9349126,64,50,1614,3680,20,19,0,1,9,4,8,1,129,0.5,20,3096.78
3425,4371,3,0,0.4,32,0.3,514,1891,3,3,3,9664000,66,50,1679,3894,21,20,0,1,9,4,8,1,130,0.5,21,4345.48
3746,4629,3,0,0.4,32,0.3,574,2009,3,3,3,10214666,68,50,1769,4276,23,22,0,1,9,4,9,1,131,0.5,23,8594.71
3188,4171,3,0,0.4,32,0.3,468,1790,3,3,3,9267310,63,50,1616,3644,20,19,0,1,9,4,8,1,129,0.5,20,10688.59
3368,4230,3,0,0.4,128,0.3,469,1784,3,3,3,9413596,64,51,1640,3567,19,20,0,1,9,4,8,1,129,0.5,20,10810.94
2939,4033,3,0,0.4,128,0.3,405,1668,3,3,3,8964168,63,51,1541,3204,18,18,0,1,9,3,7,1,127,0.5,18,12483.44
3520,4390,3,0,0.4,32,0.3,501,1836,3,3,3,9688210,66,51,1684,3791,20,20,0,1,8,4,8,1,130,0.5,21,14614.47
3802,4539,3,0,0.4,32,0.3,541,1920,3,3,3,10090354,68,51,1771,4057,22,22,0,1,8,4,9,1,130,0.5,22,14952.47
4156,4887,3,0,0.4,64,0.3,617,2032,3,4,4,10607130,69,51,1875,4497,23,23,0,1,8,5,10,1,132,0.5,24,4222.42
